step,portfolio_value,price,position,balance,shares,reward,action
123,100613.52833773001,235.976,매도,235.9924609300176,425.37179999999995,-0.001,-0.033982906
124,100517.16831093,235.75,매수,0.01646093001758686,426.37179999999995,-0.047886217883418555,0.06400413
125,100523.39333921,235.7646,매수,0.01646093001758686,426.37179999999995,0.0030965000231295086,0.06505244
126,100519.30016993,235.755,매수,0.01646093001758686,426.37179999999995,-0.0020359287246678823,0.38121697
127,100420.80828413,235.524,매수,0.01646093001758686,426.37179999999995,-0.04899152980247811,0.260759
128,100489.27522463001,235.685,매도,261.7542821300176,425.2605,0.034090016635935805,-0.11113553
129,100463.69959463002,235.625,매수,26.069282130017598,426.2605,-0.012725552026731844,0.09187622
130,100487.32740713001,235.6808,매도,691.2386571300176,423.4375,0.011759378061595044,-0.282302
131,100495.34061545001,235.7,매도,2124.861395450018,417.3546,0.00398717357042177,-0.6082981
132,100474.42288545003,235.65,매수,1889.1613954500178,418.3546,-0.010407313349993568,0.048055
133,100436.86097145002,235.56,매도,2124.8113954500177,417.3546,-0.018692276562180078,-0.009905521
134,100457.78086145002,235.61,매수,1879.0752034500176,418.3978,0.010414448339813864,0.104322895
135,100489.23569645002,235.685,매수,1643.4652034500177,419.3978,0.0156557484797414,0.07619905
136,100567.55261595002,235.87,매수,715.5969269500177,423.3347,0.03896781528748376,0.3936989
137,100579.94318919003,235.8992,매수,479.72692695001774,424.3347,0.006160323542591158,0.09748253
138,100563.22955183002,235.86,매수,0.0023138300177834026,426.3683,-0.00830863332690974,0.27491602
139,100431.05537883002,235.55,매수,0.0023138300177834026,426.3683,-0.06571694922142714,0.11535294
140,100484.35141633001,235.675,매수,0.0023138300177834026,426.3683,0.026533644050120646,0.31400448
141,100382.02302433002,235.435,매수,0.0023138300177834026,426.3683,-0.05091757599948349,0.29562122
142,100332.99066983,235.32,매수,0.0023138300177834026,426.3683,-0.0244228762395681,0.35710075
143,100311.67225483002,235.27,매수,0.0023138300177834026,426.3683,-0.010623831133540314,0.508126
144,100228.53043633001,235.075,매수,0.0023138300177834026,426.3683,-0.04144174682323882,0.6500284
145,100358.57276783,235.38,매수,0.0023138300177834026,426.3683,0.06487291140250859,1.0797639
146,100396.94591483001,235.47,매수,0.0023138300177834026,426.3683,0.019118021481223293,0.82709473
147,100445.97826933001,235.585,매수,0.0023138300177834026,426.3683,0.024419246050370366,0.4614547
148,100524.51531019002,235.7692,매수,0.0023138300177834026,426.3683,0.03909416893199504,0.5885323
149,100554.70218583001,235.84,매수,0.0023138300177834026,426.3683,0.015014683506229575,0.25377047
